motivo,regla,nro_inscripcion,periodo,producto,bandera,valor_problematico,accion
hard_rule,precio_con_impuestos_no_positivo,1382,2024-11,GNC,Blanca,0.0,dropped
logic_rule,precio_sin_mayor_que_con,9405,2025-01,GNC,Puma,508.67,dropped
logic_rule,precio_sin_mayor_que_con,10819,2025-01,Gas Oil Grado 2,Puma,1226.0,dropped
logic_rule,precio_sin_mayor_que_con,10819,2025-01,Nafta Súper,Puma,1247.0,dropped
logic_rule,precio_sin_mayor_que_con,10819,2025-01,Gas Oil Grado 3,Puma,1451.0,dropped
logic_rule,precio_sin_mayor_que_con,10819,2025-01,Nafta Premium,Puma,1498.0,dropped
logic_rule,precio_sin_mayor_que_con,7430,2025-01,Gas Oil Grado 2,YPF,818.7,dropped
logic_rule,precio_sin_mayor_que_con,7430,2025-01,Nafta Súper,YPF,793.01,dropped
logic_rule,precio_sin_mayor_que_con,6768,2025-01,GNC,YPF,1405.54,dropped
logic_rule,precio_sin_mayor_que_con,2330,2025-01,Nafta Premium,YPF,1524.47,dropped
logic_rule,precio_sin_mayor_que_con,7554,2025-01,Gas Oil Grado 2,Puma,1223.52,dropped
logic_rule,precio_sin_mayor_que_con,1851,2025-01,Nafta Premium,YPF,1176.83,dropped
logic_rule,precio_sin_mayor_que_con,1624,2025-01,Gas Oil Grado 2,YPF,1247.39,dropped
logic_rule,precio_sin_mayor_que_con,2054,2025-01,Gas Oil Grado 3,Axion,1463.0,dropped
logic_rule,precio_sin_mayor_que_con,7022,2025-01,Nafta Súper,Shell,1266.0,dropped
logic_rule,precio_sin_mayor_que_con,8337,2025-01,Nafta Súper,YPF,822.81,dropped
logic_rule,precio_sin_mayor_que_con,8337,2025-01,Gas Oil Grado 2,YPF,872.75,dropped
logic_rule,precio_sin_mayor_que_con,7072,2025-01,Gas Oil Grado 2,YPF,1293.9,dropped
logic_rule,precio_sin_mayor_que_con,8982,2025-02,Nafta Súper,Shell,740.94,dropped
logic_rule,precio_sin_mayor_que_con,5798,2025-02,Gas Oil Grado 2,Shell,1332.29,dropped
logic_rule,precio_sin_mayor_que_con,1768,2025-02,Nafta Premium,YPF,1116.92,dropped
logic_rule,precio_sin_mayor_que_con,10819,2025-02,Gas Oil Grado 3,Puma,1481.0,dropped
logic_rule,precio_sin_mayor_que_con,10819,2025-02,Gas Oil Grado 2,Puma,1251.0,dropped
logic_rule,precio_sin_mayor_que_con,10819,2025-02,Nafta Súper,Puma,1272.0,dropped
logic_rule,precio_sin_mayor_que_con,10819,2025-02,Nafta Premium,Puma,1528.0,dropped
logic_rule,precio_sin_mayor_que_con,7430,2025-02,Gas Oil Grado 2,YPF,838.66,dropped
logic_rule,precio_sin_mayor_que_con,7430,2025-02,Nafta Súper,YPF,808.98,dropped
logic_rule,precio_sin_mayor_que_con,2053,2025-02,Gas Oil Grado 2,Blanca,1288.0,dropped
logic_rule,precio_sin_mayor_que_con,4101,2025-02,GNC,YPF,1060.08,dropped
logic_rule,precio_sin_mayor_que_con,7332,2025-02,Gas Oil Grado 2,Axion,1395.0,dropped
logic_rule,precio_sin_mayor_que_con,7332,2025-02,Gas Oil Grado 3,Axion,1630.0,dropped
logic_rule,precio_sin_mayor_que_con,7332,2025-02,Nafta Súper,Axion,1330.0,dropped
logic_rule,precio_sin_mayor_que_con,7332,2025-02,Nafta Premium,Axion,1648.0,dropped
logic_rule,precio_sin_mayor_que_con,7022,2025-02,GNC,Shell,699.0,dropped
logic_rule,precio_sin_mayor_que_con,7022,2025-02,Gas Oil Grado 3,Shell,1577.0,dropped
logic_rule,precio_sin_mayor_que_con,7022,2025-02,Nafta Premium,Shell,1593.0,dropped
logic_rule,precio_sin_mayor_que_con,7022,2025-02,Nafta Súper,Shell,1315.0,dropped
logic_rule,precio_sin_mayor_que_con,7022,2025-02,Gas Oil Grado 2,Shell,1305.0,dropped
logic_rule,precio_sin_mayor_que_con,8337,2025-02,Nafta Premium,YPF,1066.78,dropped
logic_rule,precio_sin_mayor_que_con,8337,2025-02,Nafta Súper,YPF,863.18,dropped
logic_rule,precio_sin_mayor_que_con,8337,2025-02,Gas Oil Grado 3,YPF,1083.44,dropped
logic_rule,precio_sin_mayor_que_con,8337,2025-02,Gas Oil Grado 2,YPF,906.9,dropped
logic_rule,precio_sin_mayor_que_con,9798,2025-02,Nafta Premium,YPF,1049.69,dropped
logic_rule,precio_sin_mayor_que_con,9798,2025-02,Gas Oil Grado 3,YPF,1005.58,dropped
