distancia_km,tipo_frontera,origen_menor_carga,origen_mayor_carga,estacion_menor_carga,estacion_mayor_carga,provincia_menor_carga,provincia_mayor_carga,partido_menor_carga,partido_mayor_carga,bandera_menor_carga,bandera_mayor_carga,volumen_menor_carga,volumen_mayor_carga,precio_menor_carga,precio_mayor_carga,carga_menor_pct,carga_mayor_pct,gap_carga_pct,gap_precio,gap_volumen,favorece_hipotesis,prov_group_menor,prov_group_mayor,grupo_presentacion,jurisdiccion_menor_carga,jurisdiccion_mayor_carga,gap_volumen_litros
0.0,CABA vs Provincia,CABA,Localidad: Avellaneda,ESTACIÓN DE SERVICIO SAAVEDRA S.R.L. (Capital Federal),DEL SUR COMBUSTIBLES SRL (Avellaneda),Ciudad Autónoma de Buenos Aires,Buenos Aires,,,YPF,Blanca,264.9,3.15,1128.0,1172.0,0.0,64.84,64.84,44.0,261.75,True,caba,ba,CABA vs Provincia,CABA,Localidad: Avellaneda,261750.0
0.0,CABA vs Provincia,CABA,Localidad: Abasto,YAPAY NEASA S.R.L. (Capital Federal),NAPHTAS CONHEX S.R.L (Abasto),Ciudad Autónoma de Buenos Aires,Buenos Aires,,,Shell,Blanca,179.39,18.42,1233.0,1390.0,0.0,55.35,55.35,157.0,160.96999999999997,True,caba,ba,CABA vs Provincia,CABA,Localidad: Abasto,160969.99999999997
0.043,Interpartido BA,Partido: Malvinas Argentinas,Partido: Escobar,SERVICIOS TORTUGUITAS S.A. (Pilar),LOMAS DE ESCOBAR PETROLEO S.A. (Escobar),Buenos Aires,Buenos Aires,Malvinas Argentinas,Escobar,Puma,Shell,75.71,202.0,1178.0,1217.0,2.75,40.11,37.36,39.0,-126.29,False,ba,ba,Interpartido BA,Malvinas Argentinas,Escobar,-126290.0
0.166,Interpartido BA,Partido: Berazategui,Partido: Florencio Varela,RODTEAM S.R.L. (Berazategui),DA COSTA E HIJOS S.A. (Florencio Varela),Buenos Aires,Buenos Aires,Berazategui,Florencio Varela,Shell,YPF,74.91,269.61,1234.0,1182.0,0.0,15.97,15.97,-52.0,-194.70000000000002,False,ba,ba,Interpartido BA,Berazategui,Florencio Varela,-194700.00000000003
0.171,Interpartido BA,Partido: Morón,Partido: La Matanza,DON BOSCO 2805 COMBUSTIBLES DEL OESTE S.A. (Moron),WILNOR S.A (Villa Luzuriaga),Buenos Aires,Buenos Aires,Morón,La Matanza,Axion,Puma,59.97,7.78,1199.0,1193.0,0.0,12.08,12.08,-6.0,52.19,True,ba,ba,Interpartido BA,Morón,La Matanza,52190.0
0.212,Interpartido BA,Partido: Escobar,Partido: Tigre,GARIN COMBUSTIBLES SA (Garin),EL CURVON SRL (Benavidez),Buenos Aires,Buenos Aires,Escobar,Tigre,YPF,YPF,304.35,142.26,1173.46,1173.0,0.0,7.75,7.75,-0.4600000000000364,162.09000000000003,True,ba,ba,Interpartido BA,Escobar,Tigre,162090.00000000003
0.228,Interpartido BA,Partido: Lomas de Zamora,Partido: Almirante Brown,DEL TRABAJO SA (Llavallol),CASTAÑO RADZIUSZ S.A. (Adrogue),Buenos Aires,Buenos Aires,Lomas de Zamora,Almirante Brown,Axion,Shell,108.3,102.0,1179.0,1234.0,0.0,37.32,37.32,55.0,6.299999999999997,True,ba,ba,Interpartido BA,Lomas de Zamora,Almirante Brown,6299.999999999997
0.252,Interpartido BA,Partido: Vicente López,Partido: San Isidro,LIRHE S.A. (Munro),DUAL NORTE S.R.L. (Villa Adelina),Buenos Aires,Buenos Aires,Vicente López,San Isidro,Shell,DAPSA,101.99,22.51,1210.0,1145.0,0.0,25.21,25.21,-65.0,79.47999999999999,True,ba,ba,Interpartido BA,Vicente López,San Isidro,79479.99999999999
0.289,Interpartido BA,Partido: Moreno,Partido: José C. Paz,LA FLORIDA SA (Moreno),GAS FE S.R.L (Jose C. Paz),Buenos Aires,Buenos Aires,Moreno,José C. Paz,YPF,Axion,1.19,11.76,1185.0,1229.0,8.120000000000001,30.0,21.88,44.0,-10.57,False,ba,ba,Interpartido BA,Moreno,José C. Paz,-10570.0
0.333,Interpartido BA,Partido: Florencio Varela,Partido: Berazategui,DA COSTA E HIJOS S.A. (Florencio Varela),GNC BERAZATEGUI SA (Berazategui),Buenos Aires,Buenos Aires,Florencio Varela,Berazategui,YPF,Shell,269.61,59.26,1182.0,1211.0,15.97,18.36,2.389999999999999,29.0,210.35000000000002,True,ba,ba,Interpartido BA,Florencio Varela,Berazategui,210350.00000000003
