grupo_jurisdiccion,jurisdiccion,estaciones,volumen_m3_mes,precio_promedio,variacion_impositiva_promedio,tasa_vial_media_pct,carga_subnacional_media_pct,litros_mes,tasa_vial_media_amba_pct,desvio_tasa_vial_pp,desvio_tasa_vial_pct,color_principal_hex,color_acento_hex,color_fondo_hex,color_visual_hex
CABA,CABA,177,1385103.68,1170.0740112994351,0.3108272471788516,0.36548022598870056,4334.8009604519775,1385103680.0,231.3312190759744,-230.96573884998568,-99.84200998574747,#2C2C2A,#BA7517,#F7F5EE,#BA7517
Partido BA,Almirante Brown,28,964495.25,1202.5257142857142,0.31756816051763714,14.374285714285715,31.906785714285714,964495250.0,231.3312190759744,-216.95693336168867,-93.78627503382288,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,La Plata,71,496467.55000000005,1173.9197183098593,0.3058913614865043,1.2146478873239437,9.453661971830986,496467550.00000006,231.3312190759744,-230.11657118865045,-99.47493127292732,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,Tigre,38,314443.58,1201.3147368421053,0.3148151696242706,25.19105263157895,63196.224210526314,314443580.0,231.3312190759744,-206.14016644439545,-89.110396455696,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,Olavarría,18,280031.77,1253.6666666666667,0.3089073447916715,0.0,5.926111111111112,280031770.0,231.3312190759744,-231.3312190759744,-100.0,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,Lanús,32,225523.71,1192.50625,0.3054505220130661,12.69875,20.9746875,225523710.0,231.3312190759744,-218.6324690759744,-94.51057663089156,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,Bahía Blanca,28,223743.18,1243.8146428571429,0.29622337594069365,0.00035714285714285714,3.0260714285714285,223743180.0,231.3312190759744,-231.33086193311723,-99.99984561406862,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,San Miguel,17,200695.87000000002,1201.5782352941178,0.31717230963807785,1.1764705882352942,13.631176470588237,200695870.00000003,231.3312190759744,-230.15474848773908,-99.49143457898394,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,Quilmes,41,188300.78999999998,1203.8621951219511,0.2951727774880893,4.625365853658536,20.294146341463414,188300789.99999997,231.3312190759744,-226.70585322231585,-98.00054403718875,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,Lomas de Zamora,34,187948.1,1196.2941176470588,0.281107239330732,4.207941176470588,20.326470588235296,187948100.0,231.3312190759744,-227.1232778995038,-98.18098863038082,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,General San Martín,29,179865.93,1179.6837931034484,0.3129781150611483,0.06862068965517241,131.78241379310344,179865930.0,231.3312190759744,-231.2625983863192,-99.97033660656385,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,Bolívar,10,167084.07,1212.59,0.3146945649721459,40.023,123.428,167084070.0,231.3312190759744,-191.3082190759744,-82.69883323147337,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,Bragado,7,135365.43000000002,1260.142857142857,0.3050805816168217,0.0,10.685714285714285,135365430.00000003,231.3312190759744,-231.3312190759744,-100.0,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,Merlo,23,109151.51000000001,1231.4108695652174,0.3201153448476269,52.74260869565217,228.85652173913047,109151510.00000001,231.3312190759744,-178.58861038032222,-77.20039305272915,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,La Matanza,77,95450.3,1208.676233766234,0.3116825388157674,2717.777857142857,20283.581558441558,95450300.0,231.3312190759744,2486.4466380668828,1074.842664124066,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
Partido BA,Trenque Lauquen,9,88101.52999999998,1242.7777777777778,0.2622841099308995,0.003333333333333333,39.156666666666666,88101529.99999999,231.3312190759744,-231.32788574264106,-99.99855906464045,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A
